Latitude,Longitude,Crime_Type,Timing
30.290243,77.978274,Kidnapping,04:50
30.291658,78.055521,Theft,16:50
30.353307,78.067524,Dacoity,22:45
30.327347,78.030425,Burglary,07:45
30.286624,77.99301,Assault,00:55
30.37583,78.076845,Kidnapping,05:15
30.354461,78.041023,Burglary,12:00
30.287387,77.981999,Robbery,10:05
30.298677,78.079471,Robbery,17:45
30.322233,77.977386,Dacoity,19:30
30.377529,78.062889,Rape,00:30
30.282196,78.060056,Robbery,14:10
30.296744,78.05382,Assault,08:40
30.31766,78.062585,Dacoity,22:15
30.352446,78.02873,Burglary,00:05
30.285894,77.970718,Assault,03:05
30.346147,78.000714,Burglary,11:40
30.320727,77.988694,Assault,00:25
30.352782,78.009331,Rape,00:05
30.333149,77.955635,Assault,10:40
30.331742,77.958118,Kidnapping,20:00
30.348761,78.086095,Kidnapping,04:20
30.287466,78.038723,Robbery,06:10
30.281436,78.040994,Robbery,04:05
30.35268,78.095244,Robbery,05:20
30.29448,78.032632,Robbery,11:40
30.308581,78.008071,Assault,12:20
30.314343,77.979485,Dacoity,04:45
30.303821,78.042881,Theft,13:35
30.306165,77.982775,Dacoity,10:40
30.330215,78.061604,Robbery,21:15
30.345379,78.050388,Theft,16:55
30.336303,78.052105,Burglary,07:45
30.374577,78.072066,Kidnapping,07:55
30.313512,78.005022,Assault,23:45
30.328283,78.089857,Theft,19:30
30.290008,78.098726,Assault,05:00
30.297519,77.963396,Dacoity,20:50
30.304916,78.030377,Robbery,06:40
30.376635,78.058249,Kidnapping,05:25
30.373841,78.025129,Dacoity,08:15
30.292208,77.974763,Burglary,04:10
30.318769,78.099974,Theft,23:05
30.285795,78.061886,Dacoity,08:50
30.288831,78.085954,Burglary,02:50
30.294307,77.957624,Assault,04:05
30.371422,78.042619,Assault,10:00
30.363394,78.067497,Theft,21:05
30.374537,78.026815,Rape,14:40
30.335367,78.056259,Robbery,14:55
30.336881,78.096753,Dacoity,08:30
30.285356,78.051262,Robbery,19:55
30.373031,77.968984,Dacoity,16:55
30.325843,78.034343,Rape,18:20
30.373561,78.091768,Robbery,13:40
30.291557,78.094299,Robbery,04:40
30.356003,78.030573,Dacoity,12:00
30.28069,78.039902,Theft,16:55
30.37577,78.040253,Kidnapping,04:35
30.312562,78.030501,Theft,09:40
30.357467,78.098609,Kidnapping,00:35
30.317859,78.038426,Kidnapping,17:20
30.313305,78.017308,Burglary,16:25
30.356605,78.05955,Robbery,15:20
30.371217,77.97414,Robbery,04:05
30.349477,78.080276,Dacoity,01:25
30.317119,77.983392,Theft,11:10
30.318539,78.09135,Rape,01:20
30.370825,77.97818,Theft,09:05
30.352818,78.054559,Rape,05:00
30.300768,78.035024,Assault,05:50
30.320567,78.032059,Theft,16:40
30.370937,78.080777,Rape,06:05
30.363531,78.038529,Rape,22:10
30.313528,78.059506,Burglary,07:10
30.320736,78.045828,Rape,21:05
30.335061,78.047306,Rape,08:35
30.365784,78.094675,Dacoity,03:20
30.357155,78.033063,Burglary,14:55
30.280044,78.085469,Theft,19:05
30.308107,77.969974,Rape,09:35
30.28615,78.00842,Robbery,03:50
30.378954,78.09388,Theft,07:55
30.280453,78.017908,Rape,10:00
30.374578,78.095155,Kidnapping,13:45
30.313835,77.958609,Burglary,15:55
30.288652,78.089847,Burglary,18:05
30.364534,78.033899,Burglary,22:40
30.281596,77.963485,Assault,06:25
30.312225,77.950006,Burglary,17:35
30.349885,78.006714,Burglary,00:25
30.32165,77.969329,Robbery,13:30
30.298114,78.044477,Dacoity,22:50
30.330233,78.090428,Burglary,08:45
30.332498,78.065743,Dacoity,03:45
30.289903,78.045002,Rape,16:50
30.356175,78.050901,Dacoity,22:10
30.379179,78.048778,Theft,23:30
30.331459,78.096565,Theft,21:30
30.354135,78.073747,Rape,00:05
